input,target
action: continue direction: straight distance: 25 steps landmark: mall management office,"Go forward 25 steps to reach the mall management office."
action: continue direction: straight distance: 5 steps landmark: mall management office,"Go ahead 5 steps to the mall management office."
action: continue direction: straight distance: 6 steps landmark: mall management office,"Walk forward 6 steps to the mall management office."
action: continue direction: straight distance: 7 steps landmark: mall management office,"Move straight 7 steps to reach the mall management office."
action: continue direction: straight distance: 8 steps landmark: mall management office,"Step forward 8 times to the mall management office."
action: continue direction: straight distance: 9 steps landmark: mall management office,"Walk straight for 9 steps. The mall management office is here."
action: continue direction: straight distance: 10 steps landmark: mall management office,"Continue straight 10 steps to the mall management office."
action: continue direction: straight distance: 11 steps landmark: mall management office,"Proceed forward 11 steps to the mall management office."
action: continue direction: straight distance: 12 steps landmark: mall management office,"Go straight 12 steps. The mall management office is in front of you."
action: continue direction: straight distance: 13 steps landmark: mall management office,"Walk 13 steps forward to the mall management office."
action: continue direction: straight distance: 14 steps landmark: mall management office,"Move forward for 14 steps to reach the mall management office."
action: continue direction: straight distance: 15 steps landmark: mall management office,"Walk straight 15 steps to the mall management office."
action: continue direction: straight distance: 16 steps landmark: mall management office,"Go ahead 16 steps to the mall management office."
action: continue direction: straight distance: 17 steps landmark: mall management office,"Continue forward for 17 steps to the mall management office."
action: continue direction: straight distance: 18 steps landmark: mall management office,"Walk straight 18 steps. Reach the mall management office ahead."
action: continue direction: straight distance: 19 steps landmark: mall management office,"Go straight 19 steps to the mall management office."
action: continue direction: straight distance: 20 steps landmark: mall management office,"Proceed straight 20 steps to reach the mall management office."
action: continue direction: straight distance: 21 steps landmark: mall management office,"Move forward 21 steps to the mall management office."
action: continue direction: straight distance: 22 steps landmark: mall management office,"Walk forward 22 steps. The mall management office is in front of you."
action: continue direction: straight distance: 23 steps landmark: mall management office,"Go straight for 23 steps. The mall management office is ahead."
action: stop landmark: mall management office,"Stop here. You have reached the mall management office."
action: stop landmark: mall management office,"Stop. You are at the mall management office."
action: stop landmark: mall management office,"Stop now. The mall management office is directly in front of you."
action: stop landmark: mall management office,"Stop. You have arrived at the mall management office."
action: stop landmark: mall management office,"Destination reached. Stop for the mall management office."
action: stop landmark: mall management office,"Stop. The mall management office is here."
action: stop landmark: mall management office,"You have reached your destination. Stop at the mall management office."
action: stop landmark: mall management office,"Please stop. You are now at the mall management office."
action: stop landmark: mall management office,"Stop here for the mall management office."
action: stop landmark: mall management office,"End of route. Stop at the mall management office."
action: turn direction: left distance: 2 steps landmark: information desk,"Turn left and walk 2 steps to the information desk."
action: turn direction: left distance: 3 steps landmark: ATM,"Turn left and walk 3 steps to the ATM."
action: turn direction: left distance: 4 steps landmark: security desk,"Turn left and walk 4 steps to the security desk."
action: turn direction: left distance: 5 steps landmark: Zara,"Turn left and walk 5 steps to reach Zara."
action: turn direction: left distance: 6 steps landmark: exit,"Turn left and walk 6 steps to the exit."
action: turn direction: left distance: 7 steps landmark: coffee shop,"Turn left and walk 7 steps to the coffee shop."
action: turn direction: left distance: 8 steps landmark: washroom,"Turn left and walk 8 steps to reach the washroom."
action: turn direction: left distance: 9 steps landmark: pharmacy,"Turn left and walk 9 steps to reach the pharmacy."
action: turn direction: left distance: 10 steps landmark: H&M,"Turn left and walk 10 steps to reach H&M."
action: turn direction: left distance: 11 steps landmark: jewelry store,"Turn left and walk 11 steps to the jewelry store."
action: turn direction: left distance: 12 steps landmark: escalator,"Turn left and walk 12 steps to the escalator."
action: turn direction: left distance: 13 steps landmark: luggage storage,"Turn left and walk 13 steps to luggage storage."
action: turn direction: left distance: 14 steps landmark: bookstore,"Turn left and walk 14 steps to the bookstore."
action: turn direction: left distance: 15 steps landmark: elevator,"Turn left and walk 15 steps to the elevator."
action: turn direction: left distance: 16 steps landmark: prayer room,"Turn left and walk 16 steps to the prayer room."
action: turn direction: left distance: 17 steps landmark: bank,"Turn left and walk 17 steps to the bank."
action: turn direction: left distance: 18 steps landmark: Sephora,"Turn left and walk 18 steps to reach Sephora."
action: turn direction: left distance: 19 steps landmark: baby care room,"Turn left and walk 19 steps to the baby care room."
action: turn direction: left distance: 20 steps landmark: stairs,"Turn left and walk 20 steps to the stairs."
action: turn direction: left distance: 21 steps landmark: optical shop,"Turn left and walk 21 steps to the optical shop."
action: turn direction: left distance: 22 steps landmark: Apple Store,"Turn left and walk 22 steps to reach the Apple Store."
action: turn direction: left distance: 23 steps landmark: salon,"Turn left and walk 23 steps to the salon."
action: turn direction: left distance: 24 steps landmark: pet store,"Turn left and walk 24 steps to the pet store."
action: turn direction: left distance: 25 steps landmark: Nike,"Turn left and walk 25 steps to reach Nike."
action: turn direction: left distance: 26 steps landmark: spa,"Turn left and walk 26 steps to the spa."
action: turn direction: left distance: 27 steps landmark: florist,"Turn left and walk 27 steps to the florist."
action: turn direction: left distance: 28 steps landmark: Uniqlo,"Turn left and walk 28 steps to reach Uniqlo."
action: turn direction: left distance: 29 steps landmark: watch shop,"Turn left and walk 29 steps to the watch shop."
action: turn direction: left distance: 30 steps landmark: food court,"Turn left and walk 30 steps to reach the food court."
action: turn direction: left distance: 31 steps landmark: clinic,"Turn left and walk 31 steps to the clinic."
action: turn direction: left distance: 32 steps landmark: electronics store,"Turn left and walk 32 steps to the electronics store."
action: turn direction: left distance: 33 steps landmark: shoe store,"Turn left and walk 33 steps to the shoe store."
action: turn direction: left distance: 34 steps landmark: ice cream parlor,"Turn left and walk 34 steps to the ice cream parlor."
action: turn direction: left distance: 35 steps landmark: Adidas,"Turn left and walk 35 steps to reach Adidas."
action: turn direction: left distance: 36 steps landmark: sports store,"Turn left and walk 36 steps to the sports store."
action: turn direction: left distance: 37 steps landmark: bakery,"Turn left and walk 37 steps to the bakery."
action: turn direction: left distance: 38 steps landmark: gym,"Turn left and walk 38 steps to the gym."
action: turn direction: left distance: 39 steps landmark: candy store,"Turn left and walk 39 steps to the candy store."
action: turn direction: left distance: 40 steps landmark: toy store,"Turn left and walk 40 steps to reach the toy store."
action: turn direction: left distance: 41 steps landmark: lounge,"Turn left and walk 41 steps to the lounge."
action: turn direction: left distance: 42 steps landmark: furniture store,"Turn left and walk 42 steps to the furniture store."
action: turn direction: left distance: 43 steps landmark: concierge,"Turn left and walk 43 steps to the concierge."
action: turn direction: left distance: 44 steps landmark: library,"Turn left and walk 44 steps to the library."
action: turn direction: left distance: 45 steps landmark: game zone,"Turn left and walk 45 steps to the game zone."
action: turn direction: left distance: 46 steps landmark: food hall,"Turn left and walk 46 steps to the food hall."
action: turn direction: left distance: 48 steps landmark: department store,"Turn left and walk 48 steps to the department store."
action: turn direction: left distance: 50 steps landmark: cinema,"Turn left and walk 50 steps to reach the cinema."
action: turn direction: left distance: 55 steps landmark: parking,"Turn left and walk 55 steps to the parking entrance."
action: turn direction: left distance: 60 steps landmark: supermarket,"Turn left and walk 60 steps to reach the supermarket."
action: turn direction: left distance: 70 steps landmark: taxi stand,"Turn left and walk 70 steps to the taxi stand."
action: turn direction: left distance: 12 steps,"Turn left and walk for 12 steps."
action: turn direction: right distance: 8 steps,"Turn right and take 8 steps."
action: continue distance: 15 steps,"Continue straight for 15 steps."
action: turn direction: left distance: 5 steps,"Turn left and walk 5 steps."
action: turn direction: right distance: 20 steps,"Turn right and walk for 20 steps."
action: turn direction: left distance: 10 steps,"Turn left and take 10 steps."
action: stop landmark: Cinema,"Stop here. You have reached the Cinema."
action: turn direction: right distance: 6 steps,"Turn right and walk 6 steps."
action: turn direction: left distance: 18 steps,"Turn left and walk for 18 steps."
action: turn direction: right distance: 4 steps,"Turn right and take 4 steps."
action: continue distance: 25 steps,"Continue straight for 25 steps."
action: stop landmark: washroom,"Stop here. You have reached the washroom."
action: board direction: up landmark: escalator,"Step onto the escalator going up."
action: exit direction: straight distance: 10 steps landmark: escalator,"Step off the escalator and walk straight for 10 steps."
action: turn direction: left distance: 14 steps,"Turn left and walk for 14 steps."
action: turn direction: right distance: 7 steps,"Turn right and take 7 steps."
action: turn direction: left distance: 22 steps,"Turn left and walk for 22 steps."
action: stop landmark: Nike,"Stop here. You have reached Nike."
action: turn direction: right distance: 11 steps,"Turn right and walk 11 steps."
action: turn direction: left distance: 9 steps,"Turn left and walk for 9 steps."
action: board direction: up landmark: elevator,"Enter the elevator and go up."
action: exit direction: right distance: 5 steps landmark: elevator,"Exit the elevator and turn right for 5 steps."
action: turn direction: left distance: 16 steps,"Turn left and walk for 16 steps."
action: turn direction: right distance: 13 steps,"Turn right and walk 13 steps."
action: stop landmark: Food Court,"Stop here. You have reached the Food Court."
action: turn direction: left distance: 3 steps,"Turn left and take 3 steps."
action: turn direction: right distance: 17 steps,"Turn right and walk for 17 steps."
action: turn direction: left distance: 19 steps,"Turn left and take 19 steps."
action: board direction: down landmark: stairs,"Walk down the stairs."
action: exit direction: straight distance: 8 steps landmark: stairs,"At the bottom of the stairs, walk straight for 8 steps."
action: turn direction: right distance: 14 steps,"Turn right and walk for 14 steps."
action: turn direction: left distance: 6 steps,"Turn left and walk 6 steps."
action: continue distance: 30 steps,"Continue straight for 30 steps."
action: stop landmark: Sephora,"Stop here. You have reached Sephora."
action: turn direction: right distance: 9 steps,"Turn right and take 9 steps."
action: turn direction: left distance: 21 steps,"Turn left and walk for 21 steps."
action: turn direction: right distance: 4 steps,"Turn right and walk 4 steps."
action: turn direction: left distance: 12 steps,"Turn left and walk for 12 steps."
action: stop landmark: Apple Store,"Stop here. You have reached the Apple Store."
action: board direction: down landmark: elevator,"Enter the elevator and go down."
action: exit direction: left distance: 15 steps landmark: elevator,"Exit the elevator and turn left for 15 steps."
action: turn direction: right distance: 7 steps,"Turn right and walk 7 steps."
action: turn direction: left distance: 10 steps,"Turn left and walk for 10 steps."
action: turn direction: right distance: 22 steps,"Turn right and take 22 steps."
action: stop landmark: Starbucks,"Stop here. You have reached Starbucks."
action: turn direction: left distance: 8 steps,"Turn left and walk 8 steps."
action: turn direction: right distance: 14 steps,"Turn right and walk for 14 steps."
action: turn direction: left distance: 5 steps,"Turn left and take 5 steps."
action: continue distance: 18 steps landmark: H&M,"Continue straight for 18 steps. H&M is directly in front of you."
action: stop landmark: H&M,"Stop here. You have arrived at H&M."
action: continue distance: 30 steps,"Walk straight for 30 steps."
action: turn direction: right distance: 15 steps,"Turn right and walk for 15 steps."
action: continue distance: 45 steps landmark: elevator,"Walk straight for 45 steps to reach the elevator bank."
action: turn direction: left distance: 10 steps,"Turn left and take 10 steps."
action: stop landmark: elevator,"Stop. You have reached the elevator bank."
action: continue distance: 20 steps,"Continue straight for 20 steps."
action: turn direction: right distance: 12 steps,"Turn right and walk for 12 steps."
action: continue distance: 50 steps landmark: elevator,"Walk straight for 50 steps to the elevator."
action: stop landmark: elevator,"Stop here. The elevator is directly in front of you."
action: turn direction: left distance: 8 steps,"Turn left and walk for 8 steps."
action: continue distance: 35 steps,"Take 35 steps straight ahead."
action: turn direction: right distance: 22 steps,"Turn right and take 22 steps."
action: continue distance: 60 steps landmark: elevator,"Walk straight for 60 steps towards the elevator bank."
action: stop landmark: elevator,"You have arrived at the elevator bank. Stop here."
action: continue distance: 15 steps,"Walk forward for 15 steps."
action: turn direction: left distance: 14 steps,"Turn left and take 14 steps."
action: continue distance: 28 steps landmark: elevator,"Continue 28 steps straight to the elevator bank."
action: stop landmark: elevator,"Stop. The elevator bank is located here."
action: turn direction: right distance: 5 steps,"Turn right and walk for 5 steps."
action: continue distance: 42 steps,"Walk straight for 42 steps."
action: turn direction: left distance: 20 steps,"Turn left and take 20 steps."
action: continue distance: 18 steps landmark: elevator,"Walk 18 steps straight to reach the elevator."
action: stop landmark: elevator,"Stop. You are now at the elevator bank."
action: turn direction: right distance: 33 steps,"Turn right and walk for 33 steps."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: turn direction: left distance: 25 steps,"Turn left and take 25 steps."
action: continue distance: 55 steps landmark: elevator,"Walk straight for 55 steps to the elevator."
action: stop landmark: elevator,"Arrival at the elevator bank. Stop."
action: continue distance: 40 steps,"Walk forward for 40 steps."
action: turn direction: right distance: 18 steps,"Turn right and walk for 18 steps."
action: continue distance: 32 steps landmark: elevator,"Walk straight for 32 steps to the elevator bank."
action: stop landmark: elevator,"Stop here. You have reached the elevator."
action: turn direction: left distance: 5 steps,"Turn left and walk for 5 steps."
action: continue distance: 65 steps,"Continue straight for 65 steps."
action: turn direction: right distance: 9 steps,"Turn right and take 9 steps."
action: continue distance: 27 steps landmark: elevator,"Walk 27 steps straight to reach the elevator."
action: stop landmark: elevator,"You have reached the elevator bank. Stop."
action: continue distance: 12 steps,"Walk straight for 12 steps."
action: turn direction: left distance: 19 steps,"Turn left and walk for 19 steps."
action: continue distance: 48 steps landmark: elevator,"Continue straight for 48 steps to the elevator bank."
action: stop landmark: elevator,"Stop. The elevator is in front of you."
action: turn direction: right distance: 30 steps,"Turn right and take 30 steps."
action: continue distance: 14 steps,"Walk forward for 14 steps."
action: turn direction: left distance: 11 steps,"Turn left and walk for 11 steps."
action: continue distance: 38 steps landmark: elevator,"Walk straight for 38 steps to reach the elevator bank."
action: stop landmark: elevator,"Stop here. You are at the elevator bank."
action: continue distance: 70 steps landmark: elevator,"Walk straight for 70 steps to the elevator bank."
action: turn direction: right distance: 20 steps,"Turn right and take 20 steps."
action: continue distance: 15 steps landmark: elevator,"Walk straight for 15 steps to reach the elevator."
action: stop landmark: elevator,"You have arrived. Stop at the elevator bank."
action: board direction: up landmark: elevator,"Step into the elevator and press the button for the 3rd floor."
action: board direction: up landmark: elevator,"Enter the elevator and select floor 3."
action: board direction: up landmark: elevator,"Board the elevator and push the button for the 3rd floor."
action: board direction: up landmark: elevator,"Go inside the elevator and press 3."
action: board direction: up landmark: elevator,"Step inside the elevator and choose the 3rd floor."
action: board direction: up landmark: elevator,"Walk into the elevator and press the button for floor 3."
action: board direction: up landmark: elevator,"Enter the elevator and select the button for the 3rd floor."
action: board direction: up landmark: elevator,"Get into the elevator and press the 3rd floor button."
action: board direction: up landmark: elevator,"Step inside and press the 3rd floor button in the elevator."
action: board direction: up landmark: elevator,"Enter the elevator and press level 3."
action: stop landmark: elevator,"Stop here. You are at the elevator."
action: stop landmark: elevator,"Stop. The elevator is directly in front of you."
action: stop landmark: elevator,"Stop. You have reached the elevator."
action: stop landmark: elevator,"Stop at the elevator."
action: stop landmark: elevator,"Please stop here at the elevator entrance."
action: continue distance: 2 steps landmark: elevator,"Walk forward 2 steps to the elevator."
action: continue distance: 3 steps landmark: elevator,"Take 3 steps forward to reach the elevator."
action: continue distance: 4 steps landmark: elevator,"Continue straight for 4 steps to the elevator."
action: continue distance: 5 steps landmark: elevator,"Walk straight for 5 steps to the elevator."
action: continue distance: 6 steps landmark: elevator,"Walk 6 steps ahead to the elevator."
action: continue distance: 7 steps landmark: elevator,"Continue for 7 steps to reach the elevator."
action: continue distance: 8 steps landmark: elevator,"Walk forward 8 steps to the elevator."
action: continue distance: 9 steps landmark: elevator,"Walk 9 steps straight to the elevator."
action: continue distance: 10 steps landmark: elevator,"Walk 10 steps forward to the elevator."
action: continue distance: 11 steps landmark: elevator,"Take 11 steps forward to the elevator."
action: turn direction: left distance: 2 steps landmark: elevator,"Turn left and walk 2 steps to the elevator."
action: turn direction: left distance: 3 steps landmark: elevator,"Turn left and take 3 steps to the elevator."
action: turn direction: left distance: 4 steps landmark: elevator,"Turn left and walk 4 steps to reach the elevator."
action: turn direction: left distance: 5 steps landmark: elevator,"Turn left and continue for 5 steps to the elevator."
action: turn direction: left distance: 6 steps landmark: elevator,"Turn left and walk 6 steps to the elevator."
action: turn direction: right distance: 2 steps landmark: elevator,"Turn right and walk 2 steps to the elevator."
action: turn direction: right distance: 3 steps landmark: elevator,"Turn right and walk 3 steps to reach the elevator."
action: turn direction: right distance: 4 steps landmark: elevator,"Turn right and take 4 steps to the elevator."
action: turn direction: right distance: 5 steps landmark: elevator,"Turn right and walk 5 steps to the elevator."
action: turn direction: right distance: 6 steps landmark: elevator,"Turn right and walk 6 steps to the elevator."
action: board direction: up landmark: elevator,"Step into the elevator and hit the button for floor 3."
action: board direction: up landmark: elevator,"Enter the elevator and press the 3rd floor on the panel."
action: board direction: up landmark: elevator,"Walk inside the elevator and press level 3 on the keypad."
action: board direction: up landmark: elevator,"Enter the elevator and choose floor 3."
action: board direction: up landmark: elevator,"Step into the elevator and select the 3rd floor button."
action: continue distance: 12 steps landmark: elevator,"Walk 12 steps forward to reach the elevator."
action: continue distance: 15 steps landmark: elevator,"Continue straight for 15 steps to the elevator."
action: turn direction: left distance: 10 steps landmark: elevator,"Turn left and walk 10 steps to the elevator."
action: turn direction: right distance: 10 steps landmark: elevator,"Turn right and walk 10 steps to the elevator."
action: board direction: up landmark: elevator,"Step inside the elevator and push 3."
action: board direction: up landmark: elevator,"Enter the elevator and press the number 3 button."
action: stop landmark: elevator,"Stop. You are standing in front of the elevator."
action: continue distance: 1 step landmark: elevator,"Walk forward 1 step to the elevator."
action: turn direction: left distance: 1 step landmark: elevator,"Turn left and walk 1 step to the elevator."
action: turn direction: right distance: 1 step landmark: elevator,"Turn right and walk 1 step to the elevator."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: exit direction: straight distance: 6 steps landmark: elevator,"Exit the elevator and walk straight for 6 steps."
action: exit direction: straight distance: 7 steps landmark: elevator,"Exit the elevator and walk straight for 7 steps."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and walk straight for 8 steps."
action: exit direction: straight distance: 9 steps landmark: elevator,"Exit the elevator and walk straight for 9 steps."
action: exit direction: straight distance: 10 steps landmark: elevator,"Exit the elevator and walk straight for 10 steps."
action: exit direction: straight distance: 11 steps landmark: elevator,"Exit the elevator and walk straight for 11 steps."
action: exit direction: straight distance: 12 steps landmark: elevator,"Exit the elevator and walk straight for 12 steps."
action: exit direction: straight distance: 13 steps landmark: elevator,"Exit the elevator and walk straight for 13 steps."
action: exit direction: straight distance: 14 steps landmark: elevator,"Exit the elevator and walk straight for 14 steps."
action: exit direction: straight distance: 15 steps landmark: Zara,"Exit the elevator and walk straight for 15 steps to Zara."
action: exit direction: straight distance: 16 steps landmark: Sephora,"Exit the elevator and walk straight for 16 steps to Sephora."
action: exit direction: straight distance: 17 steps landmark: elevator,"Exit the elevator and walk straight for 17 steps."
action: exit direction: straight distance: 18 steps landmark: H&M,"Exit the elevator and walk straight for 18 steps to reach H&M."
action: exit direction: straight distance: 19 steps landmark: elevator,"Exit the elevator and walk straight for 19 steps."
action: exit direction: straight distance: 20 steps landmark: Apple Store,"Exit the elevator and walk straight for 20 steps to the Apple Store."
action: exit direction: straight distance: 21 steps landmark: elevator,"Exit the elevator and walk straight for 21 steps."
action: exit direction: straight distance: 22 steps landmark: washroom,"Exit the elevator and walk straight for 22 steps to the washroom."
action: exit direction: straight distance: 23 steps landmark: elevator,"Exit the elevator and walk straight for 23 steps."
action: exit direction: straight distance: 24 steps landmark: Uniqlo,"Exit the elevator and walk straight for 24 steps to reach Uniqlo."
action: exit direction: straight distance: 25 steps landmark: elevator,"Exit the elevator and walk straight for 25 steps."
action: exit direction: straight distance: 26 steps landmark: Nike,"Exit the elevator and walk straight for 26 steps to the Nike store."
action: exit direction: straight distance: 27 steps landmark: elevator,"Exit the elevator and walk straight for 27 steps."
action: exit direction: straight distance: 28 steps landmark: Adidas,"Exit the elevator and walk straight for 28 steps to Adidas."
action: exit direction: straight distance: 29 steps landmark: elevator,"Exit the elevator and walk straight for 29 steps."
action: exit direction: straight distance: 30 steps landmark: Food Court,"Exit the elevator and walk straight for 30 steps to the food court."
action: exit direction: straight distance: 31 steps landmark: elevator,"Exit the elevator and walk straight for 31 steps."
action: exit direction: straight distance: 32 steps landmark: Cinema,"Exit the elevator and walk straight for 32 steps to the cinema."
action: exit direction: straight distance: 33 steps landmark: elevator,"Exit the elevator and walk straight for 33 steps."
action: exit direction: straight distance: 34 steps landmark: Starbucks,"Exit the elevator and walk straight for 34 steps to reach Starbucks."
action: exit direction: straight distance: 35 steps landmark: elevator,"Exit the elevator and walk straight for 35 steps."
action: exit direction: straight distance: 36 steps landmark: LEGO Store,"Exit the elevator and walk straight for 36 steps to the LEGO Store."
action: exit direction: straight distance: 37 steps landmark: elevator,"Exit the elevator and walk straight for 37 steps."
action: exit direction: straight distance: 38 steps landmark: Game Stop,"Exit the elevator and walk straight for 38 steps to Game Stop."
action: exit direction: straight distance: 39 steps landmark: elevator,"Exit the elevator and walk straight for 39 steps."
action: exit direction: straight distance: 40 steps landmark: Gap,"Exit the elevator and walk straight for 40 steps to the Gap."
action: exit direction: straight distance: 41 steps landmark: elevator,"Exit the elevator and walk straight for 41 steps."
action: exit direction: straight distance: 42 steps landmark: Old Navy,"Exit the elevator and walk straight for 42 steps to Old Navy."
action: exit direction: straight distance: 43 steps landmark: elevator,"Exit the elevator and walk straight for 43 steps."
action: exit direction: straight distance: 44 steps landmark: Pandora,"Exit the elevator and walk straight for 44 steps to reach Pandora."
action: exit direction: straight distance: 45 steps landmark: elevator,"Exit the elevator and walk straight for 45 steps."
action: exit direction: straight distance: 46 steps landmark: Lush,"Exit the elevator and walk straight for 46 steps to Lush."
action: exit direction: straight distance: 47 steps landmark: elevator,"Exit the elevator and walk straight for 47 steps."
action: exit direction: straight distance: 48 steps landmark: Foot Locker,"Exit the elevator and walk straight for 48 steps to Foot Locker."
action: exit direction: straight distance: 49 steps landmark: elevator,"Exit the elevator and walk straight for 49 steps."
action: exit direction: straight distance: 50 steps landmark: Vans,"Exit the elevator and walk straight for 50 steps to the Vans store."
action: exit direction: straight distance: 51 steps landmark: elevator,"Exit the elevator and walk straight for 51 steps."
action: exit direction: straight distance: 52 steps landmark: Converse,"Exit the elevator and walk straight for 52 steps to the Converse store."
action: exit direction: straight distance: 53 steps landmark: elevator,"Exit the elevator and walk straight for 53 steps."
action: exit direction: straight distance: 54 steps landmark: Disney Store,"Exit the elevator and walk straight for 54 steps to the Disney Store."
action: exit direction: left distance: 5 steps landmark: elevator,"Exit the elevator and turn left for 5 steps."
action: exit direction: left distance: 6 steps landmark: elevator,"Step out of the elevator and turn left for 6 steps."
action: exit direction: left distance: 7 steps landmark: elevator,"Leave the elevator and turn left for 7 steps."
action: exit direction: left distance: 8 steps landmark: elevator,"Exit the elevator, turn left, and walk 8 steps."
action: exit direction: left distance: 9 steps landmark: elevator,"Exit the elevator and walk 9 steps to the left."
action: exit direction: left distance: 10 steps landmark: elevator,"Step out of the elevator and walk left for 10 steps."
action: exit direction: left distance: 11 steps landmark: elevator,"Exit the elevator and turn left for 11 steps."
action: exit direction: left distance: 12 steps landmark: elevator,"Step out of the elevator and turn left for 12 steps."
action: exit direction: left distance: 13 steps landmark: elevator,"Leave the elevator and turn left for 13 steps."
action: exit direction: left distance: 14 steps landmark: elevator,"Exit the elevator, turn left, and walk 14 steps."
action: exit direction: left distance: 15 steps landmark: elevator,"Exit the elevator and walk 15 steps to the left."
action: exit direction: left distance: 16 steps landmark: elevator,"Step out of the elevator and walk left for 16 steps."
action: exit direction: left distance: 17 steps landmark: elevator,"Exit the elevator and turn left for 17 steps."
action: exit direction: left distance: 18 steps landmark: elevator,"Step out of the elevator and turn left for 18 steps."
action: exit direction: left distance: 19 steps landmark: elevator,"Leave the elevator and turn left for 19 steps."
action: exit direction: left distance: 20 steps landmark: elevator,"Exit the elevator, turn left, and walk 20 steps."
action: exit direction: left distance: 21 steps landmark: elevator,"Exit the elevator and walk 21 steps to the left."
action: exit direction: left distance: 22 steps landmark: elevator,"Step out of the elevator and walk left for 22 steps."
action: exit direction: left distance: 23 steps landmark: elevator,"Exit the elevator and turn left for 23 steps."
action: exit direction: left distance: 24 steps landmark: elevator,"Step out of the elevator and turn left for 24 steps."
action: exit direction: left distance: 25 steps landmark: elevator,"Leave the elevator and turn left for 25 steps."
action: exit direction: left distance: 26 steps landmark: elevator,"Exit the elevator, turn left, and walk 26 steps."
action: exit direction: left distance: 27 steps landmark: elevator,"Exit the elevator and walk 27 steps to the left."
action: exit direction: left distance: 28 steps landmark: elevator,"Step out of the elevator and walk left for 28 steps."
action: exit direction: left distance: 29 steps landmark: elevator,"Exit the elevator and turn left for 29 steps."
action: exit direction: left distance: 30 steps landmark: elevator,"Step out of the elevator and turn left for 30 steps."
action: exit direction: left distance: 31 steps landmark: elevator,"Leave the elevator and turn left for 31 steps."
action: exit direction: left distance: 32 steps landmark: elevator,"Exit the elevator, turn left, and walk 32 steps."
action: exit direction: left distance: 33 steps landmark: elevator,"Exit the elevator and walk 33 steps to the left."
action: exit direction: left distance: 34 steps landmark: elevator,"Step out of the elevator and walk left for 34 steps."
action: exit direction: left distance: 35 steps landmark: elevator,"Exit the elevator and turn left for 35 steps."
action: exit direction: left distance: 36 steps landmark: elevator,"Step out of the elevator and turn left for 36 steps."
action: exit direction: left distance: 37 steps landmark: elevator,"Leave the elevator and turn left for 37 steps."
action: exit direction: left distance: 38 steps landmark: elevator,"Exit the elevator, turn left, and walk 38 steps."
action: exit direction: left distance: 39 steps landmark: elevator,"Exit the elevator and walk 39 steps to the left."
action: exit direction: left distance: 40 steps landmark: elevator,"Step out of the elevator and walk left for 40 steps."
action: exit direction: left distance: 41 steps landmark: elevator,"Exit the elevator and turn left for 41 steps."
action: exit direction: left distance: 42 steps landmark: elevator,"Step out of the elevator and turn left for 42 steps."
action: exit direction: left distance: 43 steps landmark: elevator,"Leave the elevator and turn left for 43 steps."
action: exit direction: left distance: 44 steps landmark: elevator,"Exit the elevator, turn left, and walk 44 steps."
action: exit direction: left distance: 45 steps landmark: elevator,"Exit the elevator and walk 45 steps to the left."
action: exit direction: left distance: 46 steps landmark: elevator,"Step out of the elevator and walk left for 46 steps."
action: exit direction: left distance: 47 steps landmark: elevator,"Exit the elevator and turn left for 47 steps."
action: exit direction: left distance: 48 steps landmark: elevator,"Step out of the elevator and turn left for 48 steps."
action: exit direction: left distance: 49 steps landmark: elevator,"Leave the elevator and turn left for 49 steps."
action: exit direction: left distance: 50 steps landmark: elevator,"Exit the elevator, turn left, and walk 50 steps."
action: exit direction: left distance: 3 steps landmark: elevator,"Exit the elevator and turn left for 3 steps."
action: exit direction: left distance: 4 steps landmark: elevator,"Step out of the elevator and turn left for 4 steps."
action: exit direction: left distance: 55 steps landmark: elevator,"Exit the elevator, turn left, and walk 55 steps."
action: exit direction: left distance: 60 steps landmark: elevator,"Exit the elevator and walk 60 steps to the left."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk 5 steps."
action: continue distance: 20 steps landmark: elevator,"Walk straight for 20 steps to the elevator."
action: stop landmark: elevator,"Stop. You are at the elevator."
action: board direction: down landmark: elevator,"Step inside the elevator and go down to the basement."
action: exit direction: straight distance: 3 steps landmark: elevator,"Exit the elevator and walk straight for 3 steps."
action: turn direction: left distance: 12 steps,"Turn left and walk for 12 steps."
action: continue distance: 25 steps landmark: parking,"Walk straight for 25 steps to reach the parking lot."
action: continue distance: 15 steps,"Walk straight for 15 steps."
action: turn direction: right distance: 8 steps,"Turn right and take 8 steps."
action: stop landmark: elevator,"Stop here in front of the elevator."
action: board direction: down landmark: elevator,"Enter the elevator and descend to the basement floor."
action: exit direction: straight distance: 5 steps landmark: elevator,"Step out and walk forward for 5 steps."
action: continue distance: 40 steps landmark: supermarket,"Walk forward for 40 steps to the supermarket entrance."
action: turn direction: left distance: 6 steps,"Turn left and walk 6 steps."
action: continue distance: 18 steps landmark: elevator,"Continue forward for 18 steps until you reach the elevator."
action: board direction: down landmark: elevator,"Board the elevator and ride down to the basement."
action: exit direction: straight distance: 10 steps landmark: elevator,"Walk out of the elevator and continue straight for 10 steps."
action: stop landmark: gym,"Stop. You have reached the gym."
action: continue distance: 12 steps,"Continue straight for 12 steps."
